Iteration,Population
0,0.5
1,0.625
2,0.5859375
3,0.606536865234375
4,0.5966247408650815
5,0.6016591486318896
6,0.5991635437485985
7,0.6004164789780495
8,0.5997913268741273
9,0.6001042277017528
10,0.599947858990589
11,0.6000260637079934
12,0.5999869664477111
13,0.6000065163514607
14,0.5999967417181126
15,0.6000016291144027
16,0.5999991854361636
17,0.6000004072802594
18,0.5999997963594557
19,0.6000001018201685
20,0.5999999490898899
21,0.6000000254550486
22,0.5999999872724741
23,0.6000000063637625
24,0.5999999968181187
25,0.6000000015909407
26,0.5999999992045296
27,0.6000000003977352
28,0.5999999998011324
29,0.6000000000994338
30,0.5999999999502831
31,0.6000000000248584
32,0.5999999999875708
33,0.6000000000062146
34,0.5999999999968927
35,0.6000000000015536
36,0.5999999999992232
37,0.6000000000003884
38,0.5999999999998058
39,0.6000000000000971
40,0.5999999999999515
41,0.6000000000000243
42,0.5999999999999879
43,0.6000000000000061
44,0.5999999999999969
45,0.6000000000000015
46,0.5999999999999992
47,0.6000000000000004
48,0.5999999999999998
49,0.6000000000000001
50,0.6
