Generation,Population
0,50
1,50
2,75
3,75
4,112
5,112
6,147
7,148
8,152
9,155
10,169
11,173
12,167
13,171
14,172
15,176
16,167
17,165
18,173
19,180
20,176
21,177
22,170
23,175
24,180
25,174
26,174
27,177
28,179
29,181
30,180
31,180
32,174
33,177
34,172
35,177
36,177
37,179
38,172
39,174
40,174
41,177
42,178
43,179
44,177
45,174
46,173
47,179
48,172
49,171
